Date,PL Account,Amount,Description,Counterparty
2023-01-04,Amortisation / Depreciation:Depreciation,741.87,Transaction 1,Counterparty 1
2024-03-04,Interest Expenses,2673.8,Transaction 2,Counterparty 2
2024-01-16,Office expenses:Facilities,-1578.98,Transaction 3,Counterparty 3
2024-05-20,Interest Income,2455.15,Transaction 4,Counterparty 4
2024-06-12,R&D expenses:R&D team salary,2531.35,Transaction 5,Counterparty 5
2023-08-13,Less:Refferal discount,-3194.5,Transaction 6,Counterparty 6
2023-12-19,CHASE CHE *8731,876.21,Transaction 7,Counterparty 7
2023-07-11,Growth subscription,-3738.81,Transaction 8,Counterparty 8
2023-05-12,Marketing and sales:Other sales expenses,-4027.55,Transaction 9,Counterparty 9
2023-12-30,Stripe Other fees,3680.26,Transaction 10,Counterparty 10
2023-08-28,Professional services:Contractors,-2752.33,Transaction 11,Counterparty 11
2023-11-05,Inventory Asset,-1876.77,Transaction 12,Counterparty 12
2023-08-15,Professional services:Professional services,-127.83,Transaction 13,Counterparty 13
2023-12-25,Amortisation / Depreciation:Amortisation,-466.37,Transaction 14,Counterparty 14
2023-02-28,Essential subscription,4735.13,Transaction 15,Counterparty 15
2024-02-23,Marketing and sales:M&S team salary tax expenses,-735.24,Transaction 16,Counterparty 16
2024-01-12,Stripe fees,4091.4,Transaction 17,Counterparty 17
2024-05-16,Current portion of long-term debt,-3406.01,Transaction 18,Counterparty 18
2024-05-31,Other Expenses:Other general and administrative expenses,4638.3,Transaction 19,Counterparty 19
2023-08-20,Payroll Clearing,1809.11,Transaction 20,Counterparty 20
2023-01-15,Prepaid expenses administrative,4579.08,Transaction 21,Counterparty 21
2023-03-25,Amortisation / Depreciation:Amortisation,-3297.57,Transaction 22,Counterparty 22
2023-01-02,Office expenses:Rent,960.34,Transaction 23,Counterparty 23
2023-04-04,Common stock,1875.17,Transaction 24,Counterparty 24
2023-10-06,Growth subscription,3540.35,Transaction 25,Counterparty 25
2024-02-02,Stripe fees,-578.12,Transaction 26,Counterparty 26
2024-05-09,Accounts Payable (A/P),-3318.88,Transaction 27,Counterparty 27
2024-06-11,Long-Term Investments,3818.6,Transaction 28,Counterparty 28
2023-08-14,Income,4336.3,Transaction 29,Counterparty 29
2024-04-16,Office expenses:Office equipment,-43.5,Transaction 30,Counterparty 30
2024-03-04,Prepaid expenses administrative,138.39,Transaction 31,Counterparty 31
2023-01-19,Other Expenses:Other general and administrative expenses,-1146.6,Transaction 32,Counterparty 32
2023-10-28,Marketing and sales:Other sales expenses,4675.96,Transaction 33,Counterparty 33
2024-03-17,Comissions and fees from sales,-1101.65,Transaction 34,Counterparty 34
2023-03-10,Professional services,-1682.75,Transaction 35,Counterparty 35
2024-04-24,Direct labour,-4676.26,Transaction 36,Counterparty 36
2024-06-14,Stripe fees,3080.38,Transaction 37,Counterparty 37
2023-11-09,Common stock,2546.07,Transaction 38,Counterparty 38
2023-01-14,Long-term debt,-4631.35,Transaction 39,Counterparty 39
2024-03-26,Prepaid Income,-4310.41,Transaction 40,Counterparty 40
2023-11-13,Accrued non-current liabilities,-4468.06,Transaction 41,Counterparty 41
2023-03-05,Prepaid expenses for projects,-523.89,Transaction 42,Counterparty 42
2023-03-22,Office expenses:Facilities,2446.87,Transaction 43,Counterparty 43
2024-06-11,R&D expenses:R&D software & other services,4171.36,Transaction 44,Counterparty 44
2024-03-01,Marketing and sales:Sales team salary,-978.65,Transaction 45,Counterparty 45
2024-05-29,Professional services,-1659.92,Transaction 46,Counterparty 46
2023-12-10,Liabilities related to assets held for sale,-4940.33,Transaction 47,Counterparty 47
2023-12-07,Bookkeeping subscription,3208.0,Transaction 48,Counterparty 48
2023-05-05,Inventory,-1514.71,Transaction 49,Counterparty 49
